[Ep 9374] Threat: 0.00, Dist: 0.00, Survive: 10.08, HP: -5.00, End: -0.66, Final: 4.92, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9375] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9376] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9377] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9378] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9379] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9380] Threat: 0.00, Dist: 0.00, Survive: 14.17, HP: -5.00, End: -0.11, Final: 9.56, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9381] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -4.00, End: 2.00, Final: 13.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9382] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9383] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9384] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9385] Threat: 0.00, Dist: 0.00, Survive: 11.37, HP: -5.00, End: -0.48, Final: 6.39, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9386] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9387] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9388] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9389] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9390] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9391] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9392] Threat: 0.00, Dist: 0.00, Survive: 14.18, HP: -5.00, End: -0.11, Final: 9.57, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9393] Threat: 0.00, Dist: 0.00, Survive: 9.40, HP: -5.00, End: -0.75, Final: 4.15, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9394] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9395] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9396] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9397] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9398] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9399] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9400] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9401] Threat: 0.00, Dist: 0.00, Survive: 7.34, HP: -5.00, End: -1.02, Final: 1.81, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9402] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9403] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9404] Threat: 0.00, Dist: 0.00, Survive: 10.94, HP: -5.00, End: -0.54, Final: 5.89, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9405] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9406] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9407] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9408] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9409] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9410] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9411] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9412] Threat: 0.00, Dist: 0.00, Survive: 7.32, HP: -5.00, End: -1.02, Final: 1.79, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9413] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9414] Threat: 0.00, Dist: 0.00, Survive: 9.83, HP: -5.00, End: -0.69, Final: 4.64, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9415] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9416] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9417] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9418] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9419] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9420] Threat: 0.00, Dist: 0.00, Survive: 10.55, HP: -5.00, End: -0.59, Final: 5.46, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9421] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -2.00, End: 2.00, Final: 15.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9422] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: -1.00, End: 2.00, Final: 16.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9423] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9424] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9425] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9426] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
[Ep 9427] Threat: 0.00, Dist: 0.00, Survive: 15.00, HP: 0.00, End: 2.00, Final: 17.50, skullSpeed: 26, spawnInterval: 3, maxSkulls: 5
